CAM, -18.616667 -70.323000 915 
CAR, -18.716500 -69.657833 2880 
CHA, -18.334833 -69.500667 4750 
GAR, -18.769167 -69.921167 1530 
POC, -18.454833 -70.108167 1100 
QUI, -19.330833 -69.528167 2550 
VIC, -18.956000 -70.065167 1235 
VLP, -33.025833 -71.641167 88 
LQT, -33.814667 -70.211833 1400 
YECH, -33.665333 -70.083333 2577 
LAV, -33.087333 -71.746167 60 
LACH, -33.451833 -70.530833 690 
TMU, -38.734333 -72.600667 100 
TMUZ, -38.718000 -72.538000 100 
TMUZ, -38.718000 -72.538000 100 
TMUN, -38.718000 -72.538000 100 
TMUE, -38.718000 -72.538000 100 
PAIZ, -38.874000 -72.646000 980 
PAIN, -38.874000 -72.646000 980 
PAIE, -38.874000 -72.646000 980 
PUCZ, -39.283000 -71.986000 220 
PUCN, -39.283000 -71.986000 220 
PUCE, -39.283000 -71.986000 220 
CHOZ, -39.835000 -72.080000 150 
CBUZ, -41.246000 -72.746000 250 
CBUN, -41.246000 -72.746000 250 
CBUE, -41.246000 -72.746000 250 
RANZ, -40.333000 -72.472000 470 
RANN, -40.333000 -72.472000 470 
RANE, -40.333000 -72.472000 470 
PILZ, -42.558000 -72.492000 10 
PILN, -42.558000 -72.492000 10 
PILE, -42.558000 -72.492000 10 
MAVZ, -46.061000 -72.629000 774 
MAVN, -46.061000 -72.629000 774 
MAVE, -46.061000 -72.629000 774 
AYSZ, -45.378000 -72.688000 60 
AYSN, -45.378000 -72.688000 60 
AYSE, -45.378000 -72.688000 60 
TRQA, -38.056667 -61.979500 501 
PSCH, -38.799667 -73.391833 85 
FUTA, -43.188833 -71.852500 354 
CHRN, -47.249333 -72.590333 198 
CPP, -27.354167 -70.351167 384 
CAC, -22.479833 -69.026167 2000 
CFA, -31.604167 -68.236833 621 
CYA, -28.440000 -65.789667 567 
VCA, -28.737833 -68.201000 1500 
RFA, -34.769000 -68.459500 850 
MDZ, -32.883333 -68.850000 826 
VLV, -39.787333 -73.272500 12 
UTF, -33.034333 -71.602500 50 
NICH, -35.001500 -71.224333 220 
GO01, -19.687000 -69.184667 3445 
GO02, -25.162500 -69.590333 2561 
GO03, -27.593667 -70.234500 730 
GO04, -30.172667 -70.799333 2076 
GO05, -35.009833 -71.930333 488 
GO06, -39.583833 -71.472000 1265 
GO07, -43.114167 -73.664333 178 
GO08, -48.464833 -72.556667 314 
GO09, -51.270667 -72.338167 372 
GO10, -53.154667 -71.049833 652 
ATA05, -26.174833 -70.598667 390 
MAG01, -52.780667 -69.224167 104 
MG01, -54.932167 -67.630000 57 
MG02, -52.780667 -69.224167 73 
MG03, -53.848000 -70.462833 103 
MG04, -52.857333 -71.570167 147 
MG05, -51.678333 -72.503167 99 
TUNL, -35.670000 -71.340000 375 
TPL, -22.092000 -70.205667 40 
MNN, -19.196833 -69.686167 1995 
BACH, -33.352833 -70.491667 820 
CACH, -34.143000 -70.572000 1760 
CNCO, -35.735000 -72.533000 50 
CAUQ, -35.969833 -72.227500 172 
CHUE, -36.089667 -71.798333 161 
PANT, -35.461333 -72.302333 560 
COLB, -35.677333 -71.347667 436 
LNCH, -35.847500 -71.601333 170 
SJVR, -35.590167 -71.738333 97 
CRCH, -26.345500 -70.621333 10 
CDCH, -27.073000 -70.828833 43 
CPUP, -26.330500 -57.329167 5 
IHA, -33.025833 -71.641167 88 
ACAL, -33.397000 -70.534000 650 
GUCA, -33.397000 -70.534000 650 
CHCH, -33.933333 -70.652500 680 
CICH, -34.319833 -70.420500 1200 
CIP1, -34.319833 -70.420500 1200 
CTCH, -35.330833 -72.412000 10 
PACH, -32.537000 -71.437000 692 
COLN, -34.066667 -70.456667 2160 
GEOS, -33.146000 -70.675000 660 
FCH, -33.327667 -70.290667 2770 
FAR1, -33.327667 -70.290667 2770 
SCR, -33.430000 -70.624333 702 
GE11, -33.146000 -70.675000 660 
GE12, -33.146000 -70.675000 660 
GE13, -33.146000 -70.675000 660 
GE13, -33.146000 -70.675000 660 
GDGF, -33.456500 -70.664000 533 
JACH, -32.681833 -70.592833 1075 
LCCH, -33.475333 -71.569667 180 
OVA, -30.600833 -71.200667 500 
PEL, -33.143667 -70.685333 690 
PEL1, -33.143667 -70.685333 690 
ROCH, -32.976000 -71.015667 2220 
ROC1, -32.976000 -71.015667 2224 
MT07, -32.976000 -71.015667 2234 
SAN, -33.453167 -70.661667 533 
ME03, -33.493667 -70.510167 1088 
MT03, -33.493667 -70.510167 1088 
MT05, -33.391833 -70.738167 765 
ME05, -33.391833 -70.738000 722 
MA02, -35.760500 -71.417833 227 
ML02, -35.760500 -71.417833 227 
DG01, -33.457333 -70.661667 557 
DG05, -33.440500 -70.642833 616 
DG06, -33.478500 -70.527333 825 
DG11, -33.534167 -70.584333 663 
DG13, -33.393333 -70.567167 751 
FSR, -33.478500 -70.527333 781 
STL, -33.440333 -70.642833 616 
ME06, -33.440333 -70.642833 616 
